original_market,season,snap_accepting_fm,original_lon,original_lat,original_code,original_fmid,original_pmid,original_produce,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,TotalVendors,Produce,Food,Ethnic,Soul,Specialty,Service,Plantsgarden,ArtCraft,Pets,Foodtrucks,others
Fresh Roots Farmers Market,June-September,,-89.859177,35.051006,1077,1077,,,15.723103,"6120 Winchester Road, Memphis, TN 38115, United States of America",35.050865,-89.859192,,6120,Winchester Road,38115,,South Riverdale,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Gallatin Farmers Market,May-October,,-86.44902,36.388996,1078,1078,,,1.0603315,"160 West Franklin Street, Gallatin, TN 37066, United States of America",36.389004,-86.449028,,160,West Franklin Street,37066,,,Gallatin,Sumner County,SN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,25,4,6,,,4,1,10,,,,
Gatlinburg Farmers Market,May-October,,-83.480171,35.725506,1079,1079,,,9.6026812,"1222 E Parkway, Gatlinburg, TN 37738, United States of America",35.725433,-83.480118,,1222,E Parkway,37738,,,Gatlinburg,Sevier County,SV,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,9 to 15,,,,,,,,,,,
Giles County Agri Park Farmers Market,May-November,,-87.009201,35.15522,1080,1080,,,111.39248,"2014 Elkton Pike, Pulaski, TN 38478, United States of America",35.155987,-87.009987,,2014,Elkton Pike,38478,,,Pulaski,Giles County,GL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Giles County Farmers Market,May-October,,-87.031837,35.19986,1081,1081,,,11.736802,"116 North Second Street, Pulaski, TN 38478, United States of America",35.199814,-87.031723,,116,North Second Street,38478,,,Pulaski,Giles County,GL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Goodlettsville Farmers Market,May-October,,-86.689774,36.323563,1082,1082,,,5.4731112,"705 Caldwell Drive, Goodlettsville, TN 37072, United States of America",36.323612,-86.689758,,705,Caldwell Drive,37072,,,Goodlettsville,Sumner County,SN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Grand Junction Farmers Market,May-October,,-89.189461,35.050877,1083,1083,,,3.2512462,"216 Highway 57 West, Grand Junction, TN 38039, United States of America",35.050903,-89.189438,,216,Highway 57 West,38039,,,Grand Junction,Hardeman County,HA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Green Acres Produce,Year-round,,-84.8825,35.22213,2007,,2007,1,1.9115244,"4450 Georgetown Road NW, Cleveland, TN 37312, United States of America",35.222145,-84.882492,,4450,Georgetown Road NW,37312,,,Cleveland,Bradley County,BR,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Greeneville Farmers Market,May-October,,-82.76474,36.17448,1084,1084,,,3.211118,"690 Erwin Highway, Greeneville, TN 37743, United States of America",36.1745,-82.764763,,690,Erwin Highway,37743,,,Greeneville,Greene County,GE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Hampshire Community Farmers Market,April-September,,-87.309692,35.582569,1085,1085,,,.071554378,"4443 Hampshire Pike, Hampshire, TN 38461, United States of America",35.582569,-87.309692,,4443,Hampshire Pike,38461,,,Hampshire,Maury County,MU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Hancock Family Farm Market,Year-round,,-86.809731,36.554855,2008,,2008,1,10.95619,"6050 Highway 25 East, Springfield, TN 37172, United States of America",36.554951,-86.809746,,6050,Highway 25 East,37172,,,Springfield,Robertson County,RB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Harriman Farmers Market,June-September,,-84.551659,35.934929,1086,1086,,,41.549732,"413 North Roane Street, Harriman, TN 37748, United States of America",35.934906,-84.551201,,413,North Roane Street,37748,,,Harriman,Roane County,RA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Harrogate Plant and Produce,Year-round,,-83.651863,36.572701,2009,,2009,1,2.0743546,"902 Patterson Road, Harrogate, TN 37752, United States of America",36.572693,-83.65184,,902,Patterson Road,37752,,,Harrogate,Claiborne County,CI,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Henderson Farmers Market,May-October,,-88.658333,35.448219,1087,1087,,,7.1008887,"584 North Church Avenue, Henderson, TN 38340, United States of America",35.448273,-88.658295,,584,North Church Avenue,38340,,,Henderson,Chester County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Hendersonville Farmers Market,May-September,,-86.590652,36.330276,1088,1088,,,30.011681,"300 Indian Lake Boulevard, Hendersonville, TN 37075, United States of America",36.330528,-86.590546,,300,Indian Lake Boulevard,37075,,,Hendersonville,Sumner County,SN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Henry County Farmers Market,June-August,,-88.287506,36.307667,1089,1089,,,10.27712,"517 B Royal Oak Drive, Paris, TN 38242, United States of America",36.307583,-88.287552,,517 B,Royal Oak Drive,38242,,,Paris,Henry County,HR,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Henry Horton Farmers Market,May-October,,-86.699394,35.588039,1090,1090,,,0,"Bufford Ellington Golf Course, 4358 Nashville Highway, Chapel Hill, TN 37034, United States of America",35.584881,-86.699631,Bufford Ellington Golf Course,4358,Nashville Highway,37034,,,Chapel Hill,Marshall County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Hernando Farmers Market,April-October,,-89.994766,34.823029,,,,,,"2535 Hwy 51 South, Hernando, MS 38632, United States of America",34.823029,-89.994766,,2535,Hwy 51 South,38632,,,Hernando,DeSoto County,,Mississippi,MS,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Hidden Gem Farmers Market,April-December,,-86.929115,35.756996,1091,1091,,,9.1078396,"898 Old Military Road, Spring Hill, TN 37174, United States of America",35.756916,-86.929123,,898,Old Military Road,37174,,,Spring Hill,Maury County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Highland Amish Produce Market,June-October,,-86.043358,36.656097,2010,,2010,1,7.9679875,"4684 Highland Church Road, Amos, KY 42153, United States of America",36.656052,-86.043289,,4684,Highland Church Road,42153,,,Amos,Allen County,,Kentucky,KY,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Hip Donelson Farmers Market,May-October,Yes,-86.66687,36.167156,1092,1092,,,9.0513906,"2705 Lebanon Pike, Nashville, TN 37214, United States of America",36.167236,-86.66687,,2705,Lebanon Pike,37214,,Lincoya Hills,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,69,9,28,9,1,,,,9,3,10,
Hixson Community Farmers Market,May-October,,-85.17144,35.173191,1093,1093,,,0,"Saint Alban's Episcopal Church, 7514 Hixson Pike, Middle Valley, TN 37343, United States of America",35.173191,-85.171455,Saint Alban's Episcopal Church,7514,Hixson Pike,37343,,,Middle Valley,Hamilton County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Hopkinsville Farmers Market,May-October,,-87.489662,36.865978,,,,,,"198 West 9th Street, Hopkinsville, KY 42240, United States of America",36.865978,-87.489662,,198,West 9th Street,42240,,,Hopkinsville,Christian County,,Kentucky,KY,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Humboldt Farmers Market,June-October,,-88.915543,35.818756,1094,1094,,,3.2601724,"1512 Burrow Street, Humboldt, TN 38343, United States of America",35.818787,-88.915558,,1512,Burrow Street,38343,,,Humboldt,Gibson County,GB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Hwy 79 Farmers Market,May-October,,-87.840103,36.488113,1095,1095,,,6.5902081,"225 Donelson Parkway, Dover, TN 37058, United States of America",36.488068,-87.84005,,225,Donelson Parkway,37058,,,Dover,Stewart County,SA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Jackson County Farmers Market,March-November,,-85.6567,36.337013,1096,1096,,,3.6849272,"757 South Grundy Quarles Highway, Gainesboro, TN 38562, United States of America",36.336983,-85.656708,,757,South Grundy Quarles Highway,38562,,,Gainesboro,Jackson County,JA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Janta Farmers Market Knoxville,Year-round,,-84.062874,35.92326,1097,1097,,,0,"Party City, 8503 Kingston Pike, Knoxville, TN 37919, United States of America",35.923077,-84.062904,Party City,8503,Kingston Pike,37919,,,Knoxville,Knox County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Jellico Farmers Market,May-October,,-84.127022,36.589436,1098,1098,,,9.2713299,"275 North Main Street, Jellico, TN 37762, United States of America",36.589352,-84.127029,,275,North Main Street,37762,,,Jellico,Campbell County,CM,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Johnson City Farmers Market,May-October,,-82.353622,36.316116,1099,1099,,,.67073977,"The Pavilion at Founders Park, 8 Wilson Avenue, Johnson City, TN 37604, United States of America",36.315754,-82.353722,The Pavilion at Founders Park,8,Wilson Avenue,37604,,Johnson City Central Business District,Johnson City,Washington County,WI,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,5,4,1,,,,,,,,,
Jones Orchard,June-October,,-89.930466,35.321701,2011,,2011,1,5.4263463,"7170 Us Highway 51, Millington, TN 38053, United States of America",35.321663,-89.930435,,7170,Us Highway 51,38053,,,Millington,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Jonesborough Farmers Market,May-October,Yes,-82.472748,36.294182,1100,1100,,,2.8770683,"112 Courthouse Square, Jonesborough, TN 37659, United States of America",36.294186,-82.472717,,112,Courthouse Square,37659,,,Jonesborough,Washington County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Keith's Stand,,,-87.2873,36.571075,2012,,2012,1,51.629147,"361 Warfield Boulevard, Clarksville, TN 37043, United States of America",36.570724,-87.287674,,361,Warfield Boulevard,37043,,,Clarksville,Montgomery County,MT,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Kingsport Farmers Market,May-October,Yes,-82.564865,36.551525,1101,1101,,,3.4224443,"308 Clinchfield Street, Kingsport, TN 37660, United States of America",36.551502,-82.564888,,308,Clinchfield Street,37660,,,Kingsport,Sullivan County,SL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,163,32,15,3,1,28,2,10,58,2,1,2
Kingston Lakeside Farmers Market,April-September,,-84.518211,35.870785,1102,1102,,,0,"Bethel Presbyterian Church, 203 South Kentucky Street, Kingston, TN 37763, United States of America",35.870823,-84.518196,Bethel Presbyterian Church,203,South Kentucky Street,37763,,,Kingston,Roane County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,29,6,,1,,5,,,16,,,1
Kingston Springs Farmers Market,May-August,,-87.114639,36.101723,1103,1103,,,1.5878222,"428 North Main Street, Kingston Springs, TN 37082, United States of America",36.101727,-87.114662,,428,North Main Street,37082,,,Kingston Springs,Cheatham County,CA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
La Vergne Farmers Market,May-September,,-86.580269,36.022114,1104,1104,,,0,"La Vergne City Hall, 5093 Murfreesboro Road, La Vergne, TN 37086, United States of America",36.022022,-86.580269,La Vergne City Hall,5093,Murfreesboro Road,37086,,,La Vergne,Rutherford County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Lakeshore Park Farmers Market,April-November,,-83.990822,35.923721,1105,1105,,,28.346222,"5904 Lyons View Pike, Knoxville, TN 37919, United States of America",35.923779,-83.991135,,5904,Lyons View Pike,37919,,,Knoxville,Knox County,KN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Lascassas Farmers Market,April-October,,-86.284569,35.939407,1106,1106,,,14.817963,"7684 Barlow Lane, Lascassas, TN 37085, United States of America",35.939312,-86.284683,,7684,Barlow Lane,37085,,,Lascassas,Rutherford County,RU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Lawrenceburg Farmers Market,June-October,,-87.335075,35.239952,1107,1107,,,21.008902,"25 Public Square, Lawrenceburg, TN 38464, United States of America",35.240128,-87.334999,,25,Public Square,38464,,,Lawrenceburg,Lawrence County,LW,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Lebanon Farmers Market,March-December,,-86.292358,36.2061,1108,1108,,,7.8442645,"143 South Maple Street, Lebanon, TN 37087, United States of America",36.20612,-86.292442,,143,South Maple Street,37087,,,Lebanon,Wilson County,WO,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Lester Farms,April-October,,-86.312798,36.236256,2013,,2013,1,11.565244,"524 Hartmann Drive, Lebanon, TN 37087, United States of America",36.23634,-86.312874,,524,Hartmann Drive,37087,,,Lebanon,Wilson County,WO,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Lightfoot Farmers Market,April-December,,-89.975136,35.328697,1109,1109,,,154.08244,"7426 Ward Road, Millington, TN 38053, United States of America",35.328991,-89.976799,,7426,Ward Road,38053,,,Millington,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Lookout Farmers Market,April-October,,-85.133476,35.002716,1110,1110,,,6.8845525,"8645 East Brainerd Road, Chattanooga, TN 37421, United States of America",35.002682,-85.133415,,8645,East Brainerd Road,37421,,,Chattanooga,Hamilton County,HL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Loretto Farmers Market,May-October,,-87.440239,35.078712,1111,1111,,,25.646738,"206 West Commerce Street, Loretto, TN 38469, United States of America",35.078861,-87.440025,,206,West Commerce Street,38469,,,Loretto,Lawrence County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,23,9,6,,,,,1,7,,,
Loveday Garden Center,Year-round,,-83.823952,35.900593,1112,1112,,,32.556274,"8105 Chapman Highway, Knoxville, TN 37920, United States of America",35.900887,-83.823975,,8105,Chapman Highway,37920,,,Knoxville,Knox County,KN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Lynchburg Farmers Market,May-October,,-86.376099,35.279995,1113,1113,,,56.320656,"277 Wiseman Park Road, Lynchburg, TN 37352, United States of America",35.280457,-86.376358,,277,Wiseman Park Road,37352,,,Lynchburg,Moore County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Macon County Farmers Market,June-October,,-86.028061,36.522079,1114,1114,,,1.798326,"208 Church Street, Lafayette, TN 37083, United States of America",36.522083,-86.028084,,208,Church Street,37083,,,Lafayette,Macon County,MC,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Madison Creek Farms,,,-86.670357,36.331738,2014,,2014,1,66.015747,"1228 Willis Branch Road, Goodlettsville, TN 37072, United States of America",36.3312,-86.670052,,1228,Willis Branch Road,37072,,,Goodlettsville,Sumner County,SN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Madisonville Farmers Market,May-October,,-84.363312,35.521286,1115,1115,,,13.239643,"130 Hickory Street, Madisonville, TN 37354, United States of America",35.521404,-84.363312,,130,Hickory Street,37354,,,Madisonville,Monroe County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Main Street Dyersburg Farmers Market,July-September,,-89.389748,36.029892,1116,1116,,,.38370401,"335 South Clark Avenue, Dyersburg, TN 38024, United States of America",36.029892,-89.389748,,335,South Clark Avenue,38024,,,Dyersburg,Dyer County,DY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Main Street Farmers Market,Year-round,Yes,-85.314392,35.036098,1117,1117,,,0,"1804 Chestnut Street, Chattanooga, TN 37408, United States of America",35.036118,-85.3144,,1804,Chestnut Street,37408,,,Chattanooga,Hamilton County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,36,20,4,,,11,,,1,,,
Main Street Murfreesboro Farmers Market,May - October,,-86.392044,35.846062,1118,1118,,,0,"Rutherford County Courthouse, 1 South Public Square, Murfreesboro, TN 37130, United States of America",35.84602,-86.392044,Rutherford County Courthouse,1,South Public Square,37130,,,Murfreesboro,Rutherford County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Malco Produce Farm,April-October,,-85.522942,36.144451,2015,,2015,1,2.0072503,"870 South Willow Avenue, Cookeville, TN 38501, United States of America",36.144447,-85.522919,,870,South Willow Avenue,38501,,,Cookeville,Putnam County,PU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Manchester Parks and Recreation Farmers Market,May-October,,-86.077629,35.483604,1119,1119,,,20.829533,"598 McMinnville Highway, Manchester, TN 37355, United States of America",35.483418,-86.077629,,598,McMinnville Highway,37355,,,Manchester,Coffee County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Marion County Farmers Market,March-December,,-85.655251,35.056435,1120,1120,,,36.565807,"2235 Main Street, Jasper, TN 37347, United States of America",35.0564,-85.654846,,2235,Main Street,37347,,,Jasper,Marion County,MI,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Market Square Farmers Market,May-November,Yes,-83.919464,35.965015,1121,1121,,,10.038707,"8 Market Square, Knoxville, TN 37902, United States of America",35.965054,-83.919357,,8,Market Square,37902,,,Knoxville,Knox County,KN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,160,45,10,8,,26,,14,45,5,1,6
Market-To-Go Oak Ridge,March-December,,-84.240196,36.024799,1122,1122,,,27.062094,"116 Milan Way, Oak Ridge, TN 37830, United States of America",36.024693,-84.239929,,116,Milan Way,37830,,,Oak Ridge,Roane County,RA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Marshall County Farmers Market,July-October,,-86.774467,35.463123,1123,1123,,,89.064117,"1250 Old Farmington Road, Lewisburg, TN 37091, United States of America",35.463886,-86.774178,,1250,Old Farmington Road,37091,,,Lewisburg,Marshall County,MS,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Martin Farmers Market,May-October,,-88.850456,36.343204,1124,1124,,,20.813221,"311 South Lindell Street, Martin, TN 38237, United States of America",36.343201,-88.850693,,311,South Lindell Street,38237,,,Martin,Weakley County,WE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Maryville Farmers Market,April-November,,-83.969887,35.756851,1125,1125,,,35.934734,"250 East Broadway Avenue, Maryville, TN 37804, United States of America",35.756672,-83.970222,,250,East Broadway Avenue,37804,,,Maryville,Blount County,BO,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,28,7,5,,,2,4,2,8,,,
Masons Cumberland Farmers Market,May-October,,-85.045319,35.968632,1126,1126,,,23.610407,"1578 Livingston Road, Crossville, TN 38571, United States of America",35.968418,-85.04528,,1578,Livingston Road,38571,,,Crossville,Cumberland County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
McEwen Farmers Market,May-September,,-87.631691,36.107208,1127,1127,,,15.597631,"9704 Hwy 70 East, Mcewen, TN 37101, United States of America",36.107346,-87.631721,,9704,Hwy 70 East,37101,,,Mcewen,Humphreys County,HU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
McKenzie Farmers Market,June-October,,-88.519417,36.132435,1128,1128,,,6.8495808,"2431 Cedar Street, Mckenzie, TN 38201, United States of America",36.132492,-88.519379,,2431,Cedar Street,38201,,,Mckenzie,Carroll County,CR,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Memphis Farmers Market,April-October,Yes,-90.060135,35.131844,1129,1129,,,48.115074,"557 S Main, Memphis, TN 38103, United States of America",35.132195,-90.05983,,557,S Main,38103,,South End,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,69,18,24,3,,1,,2,12,1,8,
Michie Farmers Market,Year-round,,-88.430107,35.06245,,,,,,"Michie, TN, United States of America",35.06245,-88.430107,,,,38357,,,Michie,McNairy County,,Tennessee,TN,United States,us,Who's On First,CC0,,,,,,,,,,,,
Middlesboro Farmers Market,May-October,,-83.708183,36.607517,1130,1130,,,7.5529761,"119 South 16th Street, Middlesborough, KY 40965, United States of America",36.607529,-83.708099,,119,South 16th Street,40965,,,Middlesborough,Bell County,,Kentucky,KY,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Milan Farmers Market,May-October,,-88.760223,35.919815,1131,1131,,,9.9702549,"1109 South West Front Street, Milan, TN 38358, United States of America",35.919727,-88.760223,,1109,South West Front Street,38358,,,Milan,Gibson County,GB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Millington Farmers Market,May-October,,-89.891296,35.342567,1132,1132,,,21.388336,"5152 Easley Avenue, Millington, TN 38053, United States of America",35.342583,-89.89106,,5152,Easley Avenue,38053,,,Millington,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Monroe County Farmers Markets,April-July,,-84.297417,35.366898,1133,1133,,,3.7693098,"225 Cherohala Skyway, Tellico Plains, TN 37385, United States of America",35.366924,-84.29744,,225,Cherohala Skyway,37385,,,Tellico Plains,Monroe County,MR,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Monterey Farmers Market,March-October,Yes,-85.269875,36.1469,1134,1134,,,5.5564036,"117 West Railroad Avenue, Monterey, TN 38574, United States of America",36.146858,-85.269905,,117,West Railroad Avenue,38574,,,Monterey,Putnam County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Morgan County Farmers Market,June-September,,-84.573814,36.099636,1135,1135,,,86.861603,"Solomon Park and Civic Center, 132 Carter St, Wartburg, TN 37887, United States of America",36.099426,-84.574745,Solomon Park and Civic Center,132,Carter St,37887,,,Wartburg,Morgan County,MG,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Morristown Farmers Market,May-October,,-83.292061,36.211834,1136,1136,,,6.8458014,"130 West Morris Boulevard, Morristown, TN 37813, United States of America",36.2118,-83.292122,,130,West Morris Boulevard,37813,,,Morristown,Hamblen County,HB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Mt. Juliet Farmers Market,May-October,,-86.510231,36.221783,1137,1137,,,69.141426,"1020 Charlie Daniels Parkway, Mount Juliet, TN 37122, United States of America",36.221249,-86.510628,,1020,Charlie Daniels Parkway,37122,,,Mount Juliet,Wilson County,WO,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,18,7,4,,,2,,,5,,,
Murray Farmers Market,May-October,,-88.302254,36.609859,1138,1138,,,6.7955203,"403 Maple Street, Murray, KY 42071, United States of America",36.609798,-88.302254,,403,Maple Street,42071,,,Murray,Calloway County,,Kentucky,KY,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Nashville Farmers Market,Year-round,Yes,-86.788879,36.170719,1139,1139,,,0,"Nashville Farmer's Market, 900 Rosa L Parks Boulevard, Nashville, TN 37208, United States of America",36.170235,-86.788673,Nashville Farmer's Market,900,Rosa L Parks Boulevard,37208,Downtown Nashville,,Nashville,Davidson County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
New Harvest Farmers Market,April-September,Yes,-83.882416,36.039639,1140,1140,,,68.71344,"4793 New Harvest Lane, Knoxville, TN 37918, United States of America",36.039055,-83.88266,,4793,New Harvest Lane,37918,,Harvest Park Center,Knoxville,Knox County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,7,4,1,,,2,,,,,,
Newport Farmers Market,May-September,,-83.185707,35.968166,1141,1141,,,16.62628,"300 East Main Street, Newport, TN 37713, United States of America",35.968178,-83.18589,,300,East Main Street,37713,,,Newport,Cocke County,CE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Nolensville Farmers Market,May-October,Yes,-86.672569,35.959766,1142,1142,,,16.297686,"Nolensville School, 7248 Nolensville Road, Nolensville, TN 37135, United States of America",35.959625,-86.672523,Nolensville School,7248,Nolensville Road,37135,,Wrencoe,Nolensville,Williamson County,WL,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
North Bedford Farmers Market,June-September,,-86.574547,35.602703,1143,1143,,,51.736282,"3320 Highway 41a North, Unionville, TN 37180, United States of America",35.602348,-86.574181,,3320,Highway 41a North,37180,,,Unionville,Bedford County,BD,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Nourish Knoxville's Winter Farmers Market,December-March,Yes,-83.919617,35.964684,1144,1144,,,5.5825009,"1 Market Square, Knoxville, TN 37902, United States of America",35.964699,-83.919556,,1,Market Square,37902,,,Knoxville,Knox County,KN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Oak Ridge Farmers Market,Year-round,,-84.240608,36.028893,1145,1145,,,3.0066369,"281 Broadway Avenue, Oak Ridge, TN 37830, United States of America",36.028873,-84.240578,,281,Broadway Avenue,37830,,,Oak Ridge,Roane County,RA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Obion County Farmers Market,June-October,,-89.055611,36.424454,1146,1146,,,5.0346589,"214 East Church Street, Union City, TN 38261, United States of America",36.424419,-89.055573,,214,East Church Street,38261,,,Union City,Obion County,OB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Olive Branch Farmers Market,July- September,,-89.82663,34.961601,,,,,,"Olive Branch City Hall, 9200 Pigeon Roost Road, Olive Branch, MS 38654, United States of America",34.961601,-89.82663,,9200,Pigeon Roost Road,38654,,,Olive Branch,DeSoto County,,Mississippi,MS,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Ooltewah Farmers Market,November-March,,-85.05999,35.079453,1147,1147,,,26.202227,"5859 Main Street, Collegedale, TN 37363, United States of America",35.079372,-85.059723,,5859,Main Street,37363,,,Collegedale,Hamilton County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
